method,question_type,question_count,hit_rate_at_1,hit_rate_at_5,hit_rate_at_10,hit_rate_at_20,mrr_at_20,mean_latency_ms
bge_small,factoid,20,0.85,0.95,0.95,1,0.894167,30.292
bge_small,list,20,0.75,1,1,1,0.866667,30.445
bge_small,summary,20,0.8,0.95,1,1,0.868056,29.046
bge_small,yesno,20,0.9,1,1,1,0.941667,28.137
bm25,factoid,20,0.8,0.95,0.95,1,0.862778,93.342
bm25,list,20,0.75,0.9,0.95,0.95,0.825,134.7655
bm25,summary,20,0.8,0.85,0.85,0.9,0.828571,89.553
bm25,yesno,20,0.8,0.9,0.95,0.95,0.84881,89.1695
hybrid_bge_small,factoid,20,0.9,0.95,0.95,1,0.928125,123.881
hybrid_bge_small,list,20,0.9,0.95,0.95,1,0.9275,165.5755
hybrid_bge_small,summary,20,0.85,1,1,1,0.891667,118.874
hybrid_bge_small,yesno,20,0.9,1,1,1,0.926667,117.5825
hybrid_pubmedbert,factoid,20,0.85,0.9,0.95,0.95,0.882143,200.7665
hybrid_pubmedbert,list,20,0.8,0.95,0.95,0.95,0.858333,227.5825
hybrid_pubmedbert,summary,20,0.75,0.8,0.85,0.95,0.777045,189.9565
hybrid_pubmedbert,yesno,20,0.9,0.9,0.95,0.95,0.90625,192.7085
pubmedbert,factoid,20,0.5,0.75,0.8,0.8,0.6125,107.303
pubmedbert,list,20,0.7,0.8,0.9,0.9,0.750198,92.6055
pubmedbert,summary,20,0.6,0.65,0.7,0.8,0.629337,100.233
pubmedbert,yesno,20,0.9,0.95,0.95,0.95,0.916667,103.375
